date,state,sales
2019-10-20,Arizona,116127754
2019-10-27,Arizona,115216831
2019-11-03,Arizona,115424159
2019-11-10,Arizona,120785283
2019-11-17,Arizona,116490977
2019-11-24,Arizona,114640798
2019-12-01,Arizona,109101595
2019-12-08,Arizona,110405117
2019-12-15,Arizona,110395321
2019-12-22,Arizona,117291974
2019-12-29,Arizona,108536780
2020-01-05,Arizona,109641291
2020-01-12,Arizona,110420623
2020-01-19,Arizona,110294022
2020-01-26,Arizona,109185129
2020-02-02,Arizona,115328264
2020-02-09,Arizona,111821590
2020-02-16,Arizona,110562942
2020-02-23,Arizona,110993229
2020-03-01,Arizona,118349206
2020-03-08,Arizona,127985444
2020-03-15,Arizona,139557887
2020-03-22,Arizona,135979843
2020-03-29,Arizona,119847336
2020-04-05,Arizona,125962618
2020-04-12,Arizona,123654446
2020-04-19,Arizona,125902822
2020-04-26,Arizona,127294783
2020-05-03,Arizona,134864797
2020-05-10,Arizona,136028525
2020-05-17,Arizona,130942705
2020-05-24,Arizona,131535235
2020-05-31,Arizona,131413795
2020-06-07,Arizona,138359363
2020-06-14,Arizona,139014231
2020-06-21,Arizona,134529099
2020-06-28,Arizona,135096231
2020-07-05,Arizona,144153475
2020-07-12,Arizona,136606142
2020-07-19,Arizona,135991553
2020-07-26,Arizona,132190421
2020-08-02,Arizona,135907144
2020-08-09,Arizona,139932969
2020-08-16,Arizona,139367250
2020-08-23,Arizona,135396922
2020-08-30,Arizona,135895403
2020-09-06,Arizona,140717021
2020-09-13,Arizona,132210326
2020-09-20,Arizona,130208125
2020-09-27,Arizona,127220754
2020-10-04,Arizona,132505937
2020-10-11,Arizona,133872032
2020-10-18,Arizona,130530706
2020-10-25,Arizona,125675792
2020-11-01,Arizona,123994824
2020-11-08,Arizona,130904551
2020-11-15,Arizona,123016313
2020-11-22,Arizona,126324975
2020-11-29,Arizona,119295868
2020-12-06,Arizona,118392564
2020-12-13,Arizona,120157853
2020-12-20,Arizona,123308776
2020-12-27,Arizona,117662825
2021-01-03,Arizona,119728725
2021-01-10,Arizona,121976001
2021-01-17,Arizona,123411183
2021-01-24,Arizona,118460351
2021-01-31,Arizona,119030151
2021-02-07,Arizona,126877371
2021-02-14,Arizona,123255297
2021-02-21,Arizona,122351717
2021-02-28,Arizona,124760494
2021-03-07,Arizona,136194918
2021-03-14,Arizona,150363246
2021-03-21,Arizona,144705321
2021-03-28,Arizona,125617568
2021-04-04,Arizona,140912772
2021-04-11,Arizona,138011956
2021-04-18,Arizona,134735709
2021-04-25,Arizona,139157806
2021-05-02,Arizona,144090339
2021-05-09,Arizona,152933491
2021-05-16,Arizona,147870671
2021-05-23,Arizona,146832911
2021-05-30,Arizona,149964412
2021-06-06,Arizona,153270396
2021-06-13,Arizona,152816611
2021-06-20,Arizona,154949376
2021-06-27,Arizona,147305127
2021-07-04,Arizona,155493045
2021-07-11,Arizona,150801486
2021-07-18,Arizona,146199274
2021-07-25,Arizona,140495761
2021-08-01,Arizona,144662532
2021-08-08,Arizona,154347015
2021-08-15,Arizona,149953473
2021-08-22,Arizona,146415000
2021-08-29,Arizona,147911738
2021-09-05,Arizona,155366160
2021-09-12,Arizona,149966653
2021-09-19,Arizona,148517047
2021-09-26,Arizona,143876042
2021-10-03,Arizona,200820085
2021-10-10,Arizona,201963815
2021-10-17,Arizona,197141587
2021-10-24,Arizona,195856140
2021-10-31,Arizona,194283831
2021-11-07,Arizona,201120667
2021-11-14,Arizona,196009266
2021-11-21,Arizona,199577574
2021-11-28,Arizona,184063174
2021-12-05,Arizona,186262764
2021-12-12,Arizona,187993597
2021-12-19,Arizona,191792532
2021-12-26,Arizona,187019454
2022-01-02,Arizona,182124831
2022-01-09,Arizona,187226998
2022-01-16,Arizona,190506028
2022-01-23,Arizona,184460687
2022-01-30,Arizona,184840307
2022-02-06,Arizona,191822690
2022-02-13,Arizona,193758115
2022-02-20,Arizona,186140486
2022-02-27,Arizona,191804856
2022-03-06,Arizona,204336119
2022-03-13,Arizona,199341790
2022-03-20,Arizona,203135958
2022-03-27,Arizona,204330837
2022-04-03,Arizona,216587578
2022-04-10,Arizona,219518921
2022-04-17,Arizona,217866947
2022-04-24,Arizona,207194456
2022-05-01,Arizona,210346537
2022-05-08,Arizona,219329549
2022-05-15,Arizona,215137302
2022-05-22,Arizona,215304100
2022-05-29,Arizona,219462134
2022-06-05,Arizona,221466462
2022-06-12,Arizona,228960137
2022-06-19,Arizona,224705587
2022-06-26,Arizona,215666630
2022-07-03,Arizona,230278334
2022-07-10,Arizona,220195810
2022-07-17,Arizona,218623208
2022-07-24,Arizona,213178650
2022-07-31,Arizona,211959851
2022-08-07,Arizona,225961035
2022-08-14,Arizona,220700930
2022-08-21,Arizona,215522849
2022-08-28,Arizona,222686060
2022-09-04,Arizona,232958487
2022-09-11,Arizona,226231108
2022-09-18,Arizona,218387231
2022-09-25,Arizona,211204050
2022-10-02,Arizona,214133475
2022-10-09,Arizona,218976019
2022-10-16,Arizona,211117837
2022-10-23,Arizona,206019098
2022-10-30,Arizona,203716151
2022-11-06,Arizona,212352076
2022-11-13,Arizona,209536787
2022-11-20,Arizona,206468807
2022-11-27,Arizona,200179530
2022-12-04,Arizona,195652307
2022-12-11,Arizona,200138362
2022-12-18,Arizona,204225387
2022-12-25,Arizona,206642210
2023-01-01,Arizona,188408490
2023-01-08,Arizona,194629091
2023-01-15,Arizona,199308521
2023-01-22,Arizona,191351464
2023-01-29,Arizona,193432652
2023-02-05,Arizona,203668153
2023-02-12,Arizona,210784001
2023-02-19,Arizona,200168687
2023-02-26,Arizona,201565059
2023-03-05,Arizona,216243765
2023-03-12,Arizona,235892871
2023-03-19,Arizona,227766017
2023-03-26,Arizona,207113292
2023-04-02,Arizona,215603138
2023-04-09,Arizona,229352435
2023-04-16,Arizona,223021337
2023-04-23,Arizona,220557323
2023-04-30,Arizona,231156458
2023-05-07,Arizona,240505460
2019-10-06,Arkansas,67349815
2019-10-13,Arkansas,63679443
2019-10-20,Arkansas,59248421
2019-10-27,Arkansas,57654430
2019-11-03,Arkansas,58551067
2019-11-10,Arkansas,59494648
2019-11-17,Arkansas,58265259
2019-11-24,Arkansas,59690104
2019-12-01,Arkansas,58049432
2019-12-08,Arkansas,59101265
2019-12-15,Arkansas,58035927
2019-12-22,Arkansas,61147230
2019-12-29,Arkansas,58290655
2020-01-05,Arkansas,56942259
2020-01-12,Arkansas,57854514
2020-01-19,Arkansas,56718756
2020-01-26,Arkansas,55036034
2020-02-02,Arkansas,58093735
2020-02-09,Arkansas,58021180
2020-02-16,Arkansas,56891696
2020-02-23,Arkansas,55979416
2020-03-01,Arkansas,61187920
2020-03-08,Arkansas,63599450
2020-03-15,Arkansas,69299262
2020-03-22,Arkansas,66672578
2020-03-29,Arkansas,59930918
2020-04-05,Arkansas,63610285
2020-04-12,Arkansas,63528109
2020-04-19,Arkansas,62510706
2020-04-26,Arkansas,63303777
2020-05-03,Arkansas,65718902
2020-05-10,Arkansas,66725736
2020-05-17,Arkansas,67059259
2020-05-24,Arkansas,69534675
2020-05-31,Arkansas,67420353
2020-06-07,Arkansas,70882885
2020-06-14,Arkansas,70697390
2020-06-21,Arkansas,70943346
2020-06-28,Arkansas,69082980
2020-07-05,Arkansas,76591713
2020-07-12,Arkansas,71426615
2020-07-19,Arkansas,71755452
2020-07-26,Arkansas,70313071
2020-08-02,Arkansas,70280652
2020-08-09,Arkansas,71170812
2020-08-16,Arkansas,72517548
2020-08-23,Arkansas,70270227
2020-08-30,Arkansas,69321237
2020-09-06,Arkansas,70544925
2020-09-13,Arkansas,71051325
2020-09-20,Arkansas,68622672
2020-09-27,Arkansas,64905092
2020-10-04,Arkansas,67850338
2020-10-11,Arkansas,67105075
2020-10-18,Arkansas,64996749
2020-10-25,Arkansas,62410736
2020-11-01,Arkansas,61173665
2020-11-08,Arkansas,63896293
2020-11-15,Arkansas,63680879
2020-11-22,Arkansas,64469135
2020-11-29,Arkansas,62518778
2020-12-06,Arkansas,60541396
2020-12-13,Arkansas,62551318
2020-12-20,Arkansas,63362785
2020-12-27,Arkansas,63040188
2021-01-03,Arkansas,61067745
2021-01-10,Arkansas,62054714
2021-01-17,Arkansas,61751789
2021-01-24,Arkansas,59692624
2021-01-31,Arkansas,60629838
2021-02-07,Arkansas,62729412
2021-02-14,Arkansas,63052100
2021-02-21,Arkansas,56331936
2021-02-28,Arkansas,65438140
2021-03-07,Arkansas,67470845
2021-03-14,Arkansas,73830082
2021-03-21,Arkansas,71996987
2021-03-28,Arkansas,64565241
2021-04-04,Arkansas,68515097
2021-04-11,Arkansas,68454423
2021-04-18,Arkansas,67525813
2021-04-25,Arkansas,67632914
2021-05-02,Arkansas,70271403
2021-05-09,Arkansas,71602056
2021-05-16,Arkansas,69891687
2021-05-23,Arkansas,71888898
2021-05-30,Arkansas,72688736
2021-06-06,Arkansas,73746656
2021-06-13,Arkansas,75043823
2021-06-20,Arkansas,78781472
2021-06-27,Arkansas,74788922
2021-07-04,Arkansas,80327966
2021-07-11,Arkansas,76636654
2021-07-18,Arkansas,77954786
2021-07-25,Arkansas,76727707
2021-08-01,Arkansas,76563570
2021-08-08,Arkansas,76788500
2021-08-15,Arkansas,78200292
2021-08-22,Arkansas,75360902
2021-08-29,Arkansas,76041639
2021-09-05,Arkansas,77173311
2021-09-12,Arkansas,76970529
2021-09-19,Arkansas,74662068
2021-09-26,Arkansas,70631842
2021-10-03,Arkansas,105087223
2021-10-10,Arkansas,104309748
2021-10-17,Arkansas,101130188
2021-10-24,Arkansas,98315876
2021-10-31,Arkansas,96518730
2021-11-07,Arkansas,98227444
2021-11-14,Arkansas,99626519
2021-11-21,Arkansas,100440189
2021-11-28,Arkansas,95547889
2021-12-05,Arkansas,95357790
2021-12-12,Arkansas,96826619
2021-12-19,Arkansas,99984094
2021-12-26,Arkansas,99759952
2022-01-02,Arkansas,93380357
2022-01-09,Arkansas,94532467
2022-01-16,Arkansas,98948580
2022-01-23,Arkansas,92112220
2022-01-30,Arkansas,94644193
2022-02-06,Arkansas,96618081
2022-02-13,Arkansas,97702066
2022-02-20,Arkansas,90819494
2022-02-27,Arkansas,99037115
2022-03-06,Arkansas,103093646
2022-03-13,Arkansas,102169602
2022-03-20,Arkansas,102381503
2022-03-27,Arkansas,99464637
2022-04-03,Arkansas,103811548
2022-04-10,Arkansas,105314661
2022-04-17,Arkansas,104085976
2022-04-24,Arkansas,100996169
2022-05-01,Arkansas,103805094
2022-05-08,Arkansas,105764203
2022-05-15,Arkansas,110749148
2022-05-22,Arkansas,110460402
2022-05-29,Arkansas,109863859
2022-06-05,Arkansas,109057664
2022-06-12,Arkansas,110363535
2022-06-19,Arkansas,117770997
2022-06-26,Arkansas,114411032
2022-07-03,Arkansas,119976406
2022-07-10,Arkansas,117172559
2022-07-17,Arkansas,114762339
2022-07-24,Arkansas,114581651
2022-07-31,Arkansas,114979802
2022-08-07,Arkansas,116148959
2022-08-14,Arkansas,118150219
2022-08-21,Arkansas,112180743
2022-08-28,Arkansas,113832344
2022-09-04,Arkansas,118942575
2022-09-11,Arkansas,116255198
2022-09-18,Arkansas,113416519
2022-09-25,Arkansas,110869552
2022-10-02,Arkansas,112136004
2022-10-09,Arkansas,112645109
2022-10-16,Arkansas,109648626
2022-10-23,Arkansas,105598575
2022-10-30,Arkansas,102518258
2022-11-06,Arkansas,104366457
2022-11-13,Arkansas,104922414
2022-11-20,Arkansas,104002357
2022-11-27,Arkansas,103751416
2022-12-04,Arkansas,99768472
2022-12-11,Arkansas,102920616
2022-12-18,Arkansas,104855820
2022-12-25,Arkansas,110014384
2023-01-01,Arkansas,96531612
2023-01-08,Arkansas,99012694
2023-01-15,Arkansas,101487862
2023-01-22,Arkansas,96226248
2023-01-29,Arkansas,98786791
2023-02-05,Arkansas,100758299
2023-02-12,Arkansas,103288441
2023-02-19,Arkansas,100840048
2023-02-26,Arkansas,102483063
2023-03-05,Arkansas,111201474
2023-03-12,Arkansas,116121676
2023-03-19,Arkansas,111784587
2023-03-26,Arkansas,102395451
2023-04-02,Arkansas,109455465
2023-04-09,Arkansas,112740581
2023-04-16,Arkansas,111327538
2023-04-23,Arkansas,110406153
2023-04-30,Arkansas,111996706
2023-05-07,Arkansas,116455073
2019-10-06,California,506587724
2019-10-13,California,504318966
2019-10-20,California,491957817
2019-10-27,California,505768872
2019-11-03,California,492597099
2019-11-10,California,497063952
2019-11-17,California,486794359
2019-11-24,California,477240955
2019-12-01,California,444766891
2019-12-08,California,449865324
2019-12-15,California,461461506
2019-12-22,California,491464690
2019-12-29,California,446846319
2020-01-05,California,450124199
2020-01-12,California,449525601
2020-01-19,California,439475032
2020-01-26,California,450336277
2020-02-02,California,467920813
2020-02-09,California,446322189
2020-02-16,California,446287373
2020-02-23,California,454404243
2020-03-01,California,488089630
2020-03-08,California,504525418
2020-03-15,California,594467897
2020-03-22,California,514100499
2020-03-29,California,465090389
2020-04-05,California,489779220
2020-04-12,California,484255477
2020-04-19,California,499937572
2020-04-26,California,511961313
2020-05-03,California,523453599
2020-05-10,California,532766128
2020-05-17,California,506672448
2020-05-24,California,528426454
2020-05-31,California,525499509
2020-06-07,California,556528877
2020-06-14,California,572134465
2020-06-21,California,539820647
2020-06-28,California,550818407
2020-07-05,California,585581852
2020-07-12,California,572401489
2020-07-19,California,566344439
2020-07-26,California,563610657
2020-08-02,California,571725103
2020-08-09,California,572375905
2020-08-16,California,590385374
2020-08-23,California,586280792
2020-08-30,California,577902644
2020-09-06,California,590828387
2020-09-13,California,555189447
2020-09-20,California,546802449
2020-09-27,California,536372040
2020-10-04,California,554931497
2020-10-11,California,543419228
2020-10-18,California,535362222
2020-10-25,California,529163244
2020-11-01,California,517917263
2020-11-08,California,513811149
2020-11-15,California,497866038
2020-11-22,California,521507022
2020-11-29,California,471884849
2020-12-06,California,479476192
2020-12-13,California,487555072
2020-12-20,California,505770196
2020-12-27,California,474551686
2021-01-03,California,479823371
2021-01-10,California,478632113
2021-01-17,California,488099008
2021-01-24,California,475172743
2021-01-31,California,476419790
2021-02-07,California,494320647
2021-02-14,California,485051221
2021-02-21,California,482836202
2021-02-28,California,514375629
2021-03-07,California,538794933
2021-03-14,California,612121418
2021-03-21,California,535505288
2021-03-28,California,488584342
2021-04-04,California,536621575
2021-04-11,California,508801549
2021-04-18,California,515453323
2021-04-25,California,532877586
2021-05-02,California,552679135
2021-05-09,California,576813823
2021-05-16,California,551703983
2021-05-23,California,564105034
2021-05-30,California,580968751
2021-06-06,California,578471229
2021-06-13,California,589885974
2021-06-20,California,602011587
2021-06-27,California,585311316
2021-07-04,California,622923228
2021-07-11,California,612497091
2021-07-18,California,608751471
2021-07-25,California,598589158
2021-08-01,California,602999392
2021-08-08,California,611364709
2021-08-15,California,638156864
2021-08-22,California,617148868
2021-08-29,California,595262791
2021-09-05,California,625640392
2021-09-12,California,602636475
2021-09-19,California,586302816
2021-09-26,California,580649015
2021-10-03,California,847187815
2021-10-10,California,815989724
2021-10-17,California,818621940
2021-10-24,California,782324756
2021-10-31,California,801781952
2021-11-07,California,783320346
2021-11-14,California,792175855
2021-11-21,California,804762762
2021-11-28,California,738558960
2021-12-05,California,748674115
2021-12-12,California,755743320
2021-12-19,California,774968962
2021-12-26,California,749275823
2022-01-02,California,729386633
2022-01-09,California,736430207
2022-01-16,California,755673421
2022-01-23,California,750604360
2022-01-30,California,732224035
2022-02-06,California,745632437
2022-02-13,California,762696333
2022-02-20,California,739917838
2022-02-27,California,757884374
2022-03-06,California,775923009
2022-03-13,California,779023246
2022-03-20,California,773456533
2022-03-27,California,798854528
2022-04-03,California,819513915
2022-04-10,California,831441980
2022-04-17,California,822280165
2022-04-24,California,798871465
2022-05-01,California,822427062
2022-05-08,California,837782910
2022-05-15,California,812869874
2022-05-22,California,823723310
2022-05-29,California,854870957
2022-06-05,California,867362897
2022-06-12,California,894410020
2022-06-19,California,886160929
2022-06-26,California,888243245
2022-07-03,California,935576185
2022-07-10,California,892737988
2022-07-17,California,896695790
2022-07-24,California,921542954
2022-07-31,California,903223651
2022-08-07,California,925362008
2022-08-14,California,938316356
2022-08-21,California,900851967
2022-08-28,California,909390979
2022-09-04,California,953230705
2022-09-11,California,941975597
2022-09-18,California,867638860
2022-09-25,California,855686656
2022-10-02,California,856445643
2022-10-09,California,866381839
2022-10-16,California,826542797
2022-10-23,California,836400784
2022-10-30,California,821263499
2022-11-06,California,813144569
2022-11-13,California,811480817
2022-11-20,California,832806518
2022-11-27,California,792984860
2022-12-04,California,764715118
2022-12-11,California,779963946
2022-12-18,California,802540094
2022-12-25,California,815368628
2023-01-01,California,756579579
2023-01-08,California,756624460
2023-01-15,California,766999017
2023-01-22,California,764986979
2023-01-29,California,778317435
2023-02-05,California,787384368
2023-02-12,California,845801292
2023-02-19,California,786199419
2023-02-26,California,786344636
2023-03-05,California,839560396
2023-03-12,California,921784604
2023-03-19,California,841308841
2023-03-26,California,789656125
2023-04-02,California,813344182
2023-04-09,California,860323110
2023-04-16,California,835223086
2023-04-23,California,850571754
2023-04-30,California,874642691
2023-05-07,California,883254116
2019-10-06,Colorado,100423016
2019-10-13,Colorado,96208959
2019-10-20,Colorado,96070971
2019-10-27,Colorado,97471702
2019-11-03,Colorado,92194329
2019-11-10,Colorado,95171405
2019-11-17,Colorado,94977961
2019-11-24,Colorado,95674566
2019-12-01,Colorado,89816716
2019-12-08,Colorado,92967545
2019-12-15,Colorado,97765963
2019-12-22,Colorado,102108204
2019-12-29,Colorado,91828009
2020-01-05,Colorado,93858490
2020-01-12,Colorado,94406018
2020-01-19,Colorado,93556021
2020-01-26,Colorado,91933087
2020-02-02,Colorado,96637422
2020-02-09,Colorado,91717705
2020-02-16,Colorado,93183877
2020-02-23,Colorado,92341806
2020-03-01,Colorado,98316102
2020-03-08,Colorado,103348721
2020-03-15,Colorado,117149278
2020-03-22,Colorado,104354543
2020-03-29,Colorado,94075698
2020-04-05,Colorado,96546501
2020-04-12,Colorado,100414296
2020-04-19,Colorado,99657930
2020-04-26,Colorado,100031056
2020-05-03,Colorado,105416647
2020-05-10,Colorado,105115083
2020-05-17,Colorado,106926596
2020-05-24,Colorado,110779344
2020-05-31,Colorado,106394738
2020-06-07,Colorado,115018399
2020-06-14,Colorado,114522305
2020-06-21,Colorado,111039373
2020-06-28,Colorado,116567565
2020-07-05,Colorado,124000018
2020-07-12,Colorado,119333472
2020-07-19,Colorado,119223162
2020-07-26,Colorado,115636420
2020-08-02,Colorado,116777704
2020-08-09,Colorado,119457331
2020-08-16,Colorado,118885840
2020-08-23,Colorado,116517361
2020-08-30,Colorado,114589946
2020-09-06,Colorado,115955629
2020-09-13,Colorado,107410888
2020-09-20,Colorado,109526977
2020-09-27,Colorado,107762178
2020-10-04,Colorado,106364272
2020-10-11,Colorado,107613660
2020-10-18,Colorado,103854518
2020-10-25,Colorado,101886131
2020-11-01,Colorado,97188916
2020-11-08,Colorado,104033043
2020-11-15,Colorado,100429080
2020-11-22,Colorado,104943497
2020-11-29,Colorado,94796796
2020-12-06,Colorado,97886273
2020-12-13,Colorado,102075751
2020-12-20,Colorado,104443758
2020-12-27,Colorado,99610494
2021-01-03,Colorado,99516019
2021-01-10,Colorado,99984581
2021-01-17,Colorado,100352533
2021-01-24,Colorado,98388621
2021-01-31,Colorado,99306860
2021-02-07,Colorado,101010049
2021-02-14,Colorado,98307861
2021-02-21,Colorado,97443599
2021-02-28,Colorado,101868950
2021-03-07,Colorado,110131176
2021-03-14,Colorado,128981248
2021-03-21,Colorado,105019247
2021-03-28,Colorado,99085283
2021-04-04,Colorado,104844289
2021-04-11,Colorado,107102293
2021-04-18,Colorado,99335213
2021-04-25,Colorado,104244477
2021-05-02,Colorado,113113760
2021-05-09,Colorado,112816691
2021-05-16,Colorado,109714051
2021-05-23,Colorado,117625053
2021-05-30,Colorado,116957171
2021-06-06,Colorado,121425334
2021-06-13,Colorado,125933476
2021-06-20,Colorado,127783969
2021-06-27,Colorado,120337964
2021-07-04,Colorado,129578194
2021-07-11,Colorado,127485651
2021-07-18,Colorado,124870676
2021-07-25,Colorado,124809030
2021-08-01,Colorado,123397870
2021-08-08,Colorado,126279291
2021-08-15,Colorado,127856917
2021-08-22,Colorado,124153756
2021-08-29,Colorado,120426229
2021-09-05,Colorado,125204216
2021-09-12,Colorado,117995179
2021-09-19,Colorado,118347312
2021-09-26,Colorado,116470675
2021-10-03,Colorado,164057354
2021-10-10,Colorado,163295548
2021-10-17,Colorado,158171905
2021-10-24,Colorado,157175507
2021-10-31,Colorado,155305036
2021-11-07,Colorado,156696702
2021-11-14,Colorado,156901319
2021-11-21,Colorado,160371575
2021-11-28,Colorado,147374438
2021-12-05,Colorado,151955870
2021-12-12,Colorado,158281659
2021-12-19,Colorado,163200759
2021-12-26,Colorado,156967757
2022-01-02,Colorado,151947526
2022-01-09,Colorado,153105243
2022-01-16,Colorado,156254016
2022-01-23,Colorado,150034320
2022-01-30,Colorado,152646637
2022-02-06,Colorado,153916049
2022-02-13,Colorado,155012983
2022-02-20,Colorado,151291673
2022-02-27,Colorado,155238168
2022-03-06,Colorado,162120987
2022-03-13,Colorado,165585877
2022-03-20,Colorado,154499195
2022-03-27,Colorado,156865111
2022-04-03,Colorado,166188104
2022-04-10,Colorado,164003270
2022-04-17,Colorado,166284416
2022-04-24,Colorado,160943182
2022-05-01,Colorado,166665063
2022-05-08,Colorado,168274038
2022-05-15,Colorado,172753762
2022-05-22,Colorado,170755925
2022-05-29,Colorado,175164905
2022-06-05,Colorado,176922383
2022-06-12,Colorado,189261835
2022-06-19,Colorado,188954673
2022-06-26,Colorado,183110601
2022-07-03,Colorado,192748764
2022-07-10,Colorado,188835247
